"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/10/01","18,362,123","468,596,122","25.50","25.55","25.45","25.50"," 0.00","6,038",
"107/10/02","17,393,413","438,783,554","25.50","25.50","25.05","25.20","-0.30","5,030",
"107/10/03","18,056,066","459,120,261","25.20","25.50","25.15","25.45","+0.25","6,072",
"107/10/04","14,457,266","365,236,442","25.25","25.40","25.05","25.40","-0.05","4,843",
"107/10/05","20,297,998","508,520,882","25.30","25.30","24.80","25.10","-0.30","7,336",
"107/10/08","14,358,056","362,741,167","25.10","25.35","25.05","25.25","+0.15","5,793",
"107/10/09","27,206,894","692,297,484","25.30","25.50","25.15","25.35","+0.10","8,973",
"107/10/11","62,054,869","1,513,774,465","25.00","25.15","23.80","24.20","-1.15","20,042",
"107/10/12","27,918,321","677,308,390","24.20","24.50","24.05","24.50","+0.30","12,270",
"107/10/15","22,322,907","538,662,872","24.20","24.25","24.00","24.05","-0.45","6,888",
"107/10/16","22,801,090","553,344,384","24.10","24.45","24.05","24.45","+0.40","8,896",
"107/10/17","12,249,140","297,227,687","24.45","24.50","24.10","24.15","-0.30","6,297",
"107/10/18","11,432,212","277,444,913","24.15","24.45","24.15","24.25","+0.10","3,759",
"107/10/19","14,498,046","352,403,350","24.10","24.45","24.05","24.30","+0.05","3,229",
"107/10/22","9,006,865","217,565,917","24.10","24.30","24.05","24.15","-0.15","3,240",
"107/10/23","13,450,266","323,874,634","24.05","24.20","24.00","24.15"," 0.00","4,448",
"107/10/24","30,007,259","712,341,018","24.05","24.10","23.45","23.70","-0.45","9,171",
"107/10/25","18,464,295","437,587,636","23.50","24.00","23.40","23.75","+0.05","6,589",
"107/10/26","14,399,845","340,780,641","23.80","23.95","23.50","23.65","-0.10","5,599",
"107/10/29","8,609,511","203,811,309","23.80","23.80","23.60","23.75","+0.10","2,770",
"107/10/30","19,202,873","462,601,549","23.95","24.20","23.85","24.15","+0.40","4,941",
"107/10/31","22,377,336","540,039,610","24.05","24.40","23.90","24.40","+0.25","5,653"

